subject_id,gender,height_cm,chest,waist,hip
AhfyGaD1BKo0-u6PeQk2oI-Bw5l0XxpAqNroFuZuy0I,female,160.0,121.8310089111328,110.68537139892578,116.15213012695312
E8tDQ5IgdBwbjLIXu7GwcupEHYbi0eB18YNcsgsSbP8,female,175.75,114.3191146850586,110.02165985107422,123.12508392333984
59bc2767681516389ccf45f9,male,174.8,117.6391143798828,107.80736541748048,119.0178680419922
nRatvgqbYTN77typTgGm4bAurxzpvf5nYg2Mb3gdh8c,male,181.5,121.46810913085938,118.219970703125,119.81377410888672
fkq68ww6bdyKT16FavI1x_G-u7YZ9SoT1GNMUTSJUek,female,161.6,109.65218353271484,96.10684204101562,122.02288055419922
7MvJ6pMSwyNUqLhEgn6cZlVZutLryVZVL9vZrfYBCr4,female,168.5,122.78881072998048,117.48296356201172,117.81797790527344
59bc2766681516389ccf456d,male,172.0,118.658447265625,109.38609313964844,120.89449310302734
FdptiwTDmIhBD4tRHUaQOs0cyBjz89KJ3296tK3fTVw,male,160.2,118.9806137084961,116.02838134765624,117.69979095458984
nV9DFb-Q2_nOAvjVsdQfU8k4fFb7czvAhHHP-qkAxFY,male,180.0,122.04024505615234,110.92000579833984,117.56330108642578
Es_GZaoXVzviajUXwSoRzcovnivkqQpN8xbdqt2VlpU,male,183.5,127.46861267089844,116.80057525634766,120.99176025390624
SDeiJFKVmRceC3qDqcpQTyDnNDOrSB2SriupQya166k,female,161.2,121.01268768310548,111.99920654296876,123.88968658447266
ovNyxkRrq34hkn8P45dbvUPCZg6t3Qb6Iphtrxeqd1Y,female,172.4,127.8175811767578,114.08458709716795,119.38711547851562
HYLKMpRR-ZZA0GvRtRs5stQ0mPS1AmH92glIqg1DLpo,female,158.7,124.32279205322266,109.44416046142578,117.40194702148438
St1RAwweLXux_N5x-LD02AOSmWj34hxrjeg3q8SQhxo,male,196.0,121.89484405517578,113.843994140625,120.46256256103516
FeunQSMTPBXcbjR0YGg_nMfJGJ_tLtBMI19jf1_O1ks,male,180.5,120.86006927490234,122.2400131225586,117.38998413085938
kJbq4rY7KCtD0ik0QWdzgPTcAAt4SXHnOOMEstRxGQw,female,168.9,115.05499267578124,106.4714813232422,117.2506332397461
oenot-0aaDdOZghQnGD7HJUBTM0mLIfdHyxN_IsrTCU,female,166.1,126.10223388671876,115.01252746582033,118.33578491210938
59bc2770681516389ccf4907,male,183.5,121.41436004638672,121.44572448730467,119.46221923828124
P7Fj7Yam-B8N2UIU2PCCVq3wZNCVx43pbvCaLr6Jahk,female,171.5,121.46925354003906,107.52045440673828,123.39618682861328
8OXGiJTp2phyVALrYrdH0lvVu-3sEjUHY-TGGXvwHNg,female,156.5,120.88758850097656,112.01890563964844,110.95549774169922
9WDEVwVyXeZPsmZ3vyB-AtLunvJjsp24Yls-zufCAiA,male,174.0,115.52448272705078,112.17887878417967,118.15794372558594
RmX_Gxh2RmFdRfFMJEwqaRRoqhcuFpqhG-ZjiKprUmM,male,172.0,118.6871109008789,114.1423797607422,114.92447662353516
VdIFFZDkEosz7ovVl1I36Bl1-5UQ86n3MrTNOn7bbYE,female,160.5,120.04186248779295,107.89698028564452,124.00931549072266
z8g60Y6KbwOUy4E9IISAHFzScXC51KTI7rzdiJ7bcek,female,154.0,117.77503967285156,101.95063018798828,110.93606567382812
y7hSR5UpX8vKoYm6nR5r0qusD8pl-sTK-O7owV0VIPM,female,163.9,118.36908721923828,105.66741180419922,116.98900604248048
P1aEQqvvzL2pKMO4Pq17rpAPVgluY9Op1dqv_caiRJM,male,173.0,122.81512451171876,108.40144348144533,109.71743774414062
uOvuHjwJCj0pqWmNVTjcbprS1h6pPRfNxdFvEVCkxfE,male,188.45,131.93246459960938,128.87277221679688,118.17510223388672
WsV_q-4hgeDa4aT-Gelcn-TsU3zBZ4KIpk_aHZAG8aI,female,169.5,118.5670166015625,103.70465087890624,126.02066802978516
JRxWV8PuWURsrbH1Jjs790x8alZ1WhE60DTZF7Sw6GM,male,182.75,113.996337890625,113.09456634521484,119.13628387451172
141fFgYgNYIebFV2uIE7jmH7kHRAV5NMbFzQz7Her0A,male,174.0,116.84011840820312,112.3038330078125,119.5794906616211
59bc275c681516389ccf4198,female,167.0,127.79397583007812,108.60009002685548,124.24185943603516
KkcKYV7B1vYaAU3rhnwuJURVMpt_DsVVfOjKhQWyIUY,female,162.1,116.85013580322266,108.2160873413086,119.59766387939452
59bc276b681516389ccf47a5,male,183.75,114.3788070678711,110.5112533569336,123.62451934814452
MY3CwjtZZyuG5LA3zEnBVMp4G0PiQJo5xyLOZQ2OsO0,female,165.0,127.321044921875,114.41871643066406,115.96540069580078
59bc2767681516389ccf45c9,male,181.9,115.37630462646484,118.90042877197266,122.03353118896484
atmWbiB7j1MyuIJnlsoDwdzSuv_0eqKCnLECAKK3vcg,male,183.0,121.75013732910156,110.64531707763672,117.9919204711914
W81GbQDdBYQMT5l7mDPGD9UkM1szFi6brOnMm0QZT18,female,161.5,112.60907745361328,100.32278442382812,115.81204986572266
99p9fJq9dc9r49WjqJ6wJmYIh5NpRDNjjliIKhN2nFY,female,163.3,120.45919036865234,106.45713806152344,112.65306854248048
qQOTtZI_-c558xi6ylqreJDMn_bffPbdd1ZmKGJTKvA,male,180.0,127.08306121826172,107.16618347167967,112.84797668457033
FX2BCVsOwJvN8jTO6nsyRWOfBhAU2YCtcKOAABH9Z_M,male,181.0,115.21311950683594,103.1670379638672,112.69622039794922
Ela0jNn0WXPUNlRmAP-JHotHLqBa9AqfCrd4CMie5js,male,176.0,123.13329315185548,119.11652374267578,120.1270751953125
n8freJbl-muE-nAC5QYGmba7phosloMOyFMeOxo_BCw,male,185.0,118.70207977294922,114.26016235351562,123.32878875732422
Pefs-r0yS1ClcRpjUKi5FU1NC7w920QUrokdZ0c4fiw,male,170.5,116.06139373779295,116.70792388916016,115.59597778320312
uAOOOjHPJ3RXlBmGW_om8GdJtFFic0Iz8IdGGMtit7w,female,156.6,120.61730194091795,109.468994140625,115.5122528076172
fLxvU_dTtBOzidz7xh99ICzTaz4wuNFk0oLjCZ8HedA,female,155.6,112.00745391845705,102.46916198730467,113.1897964477539
QjI7V3xOO1AI6u5KD4WeyvLAaS_pr4ZsGG6xDhzHRpY,female,160.0,116.35094451904295,106.0142059326172,117.96070098876952
Z40UWDKpGeBI1I6HZD_VwgBMKwHxMIVn7tBiOghsZ6E,male,193.0,120.888427734375,110.85124969482422,119.54633331298828
D4jRWVQxSD5SdIZooMH2pgR7modOEqwPCKG574RVCHw,male,183.0,120.36578369140624,106.1183853149414,112.8181381225586
vP1Sh-jJNg7AjHabR7sf1WRlUEiFa-Gke4hTuQkzhmQ,female,162.0,106.76409149169922,99.64793395996094,116.72820281982422
7pyqRwzwyeKrKPvQY0YD4dw1BdLlV_dzvXPvRPA9CyM,male,190.5,117.53279876708984,107.21192932128906,118.80894470214844
fThetEGzg5QWmpMHSnjGRYQXYXPH6UXYBpMxZd-0_Wc,male,178.5,119.909423828125,115.94842529296876,111.37408447265624
-EujjqWPZ_L0NO_RqgxJ79mA23Tjj33cYAoFaysL4I0,female,154.1,122.96255493164062,112.93948364257812,114.80290985107422
FmgyxUyfXZdhV2BlpOlISUa68okBmPEVJi6Ny8eqygk,female,169.35,112.1288070678711,102.64142608642578,123.13633728027344
IiFA9usnpMOtdgyH3Hw-V13AzQoibMlu8lGGE61x3ng,female,158.65,112.5751953125,108.40339660644533,118.77930450439452
K3p89zXx-UsYBby3S4aWeV9R5aM-T_lwmxb2dLf-LNk,male,185.75,115.9072036743164,107.51255798339844,117.52052307128906
TtC5LgtzmDEqh2FvMAvgRCzBpCOWSYgrDs0S1vQ3i_M,male,171.9,115.71867370605467,106.48558044433594,116.15193176269533
zds1X5WYB1qKkZepOtxgzod7uPtX-dghjHUf5GGazOU,female,169.5,116.88632202148438,110.30490112304688,123.51605224609376
pkM5J5U7Np7qVseeF6PLdqZWQdOcDRVOqPo96OiweP8,male,193.5,124.42564392089844,114.5326690673828,115.2447280883789
Ln93h-QpBiCetrCjogBLV0szB4r9JwHItcq7dAbq8Qw,female,154.5,116.16554260253906,104.33544921875,117.53067779541016
